CompanyName,AuthorEmploymentStatus,AuthorJobRole,AuthorLocation,Pros,Cons,ReviewDate,ReviewMainText,ReviewTitle,OverallRating
AstraZenca,Former Employee , Senior Director ,"Gaithersburg, MD","Meaningful - we impact patient's lives through the work we do; Colleagues - team work, collaboration, everyone working for a common goal; leadership - simply the best from the CEO down. My manager was phenomenal. A leader in every sense of the word. I learned a lot.",I can't think of any,18-May-20,I worked at AstraZeneca full-time for more than a year,"""Amazing place to work""",5
AstraZenca,Current Employee , Sales Representative ,,"Great products, good environment, flexible","Volatile industry, can be stressful at times",30-Aug-20,I have been working at AstraZeneca full-time for more than 8 years,"""Great company""",4
AstraZenca,Current Employee , QA Specialist II ,"Frederick, MD",Salary is good and competive,Growth in QA is slow,30-Aug-20,I have been working at AstraZeneca full-time for more than a year,"""Growth Issues""",4
AstraZenca,Former Employee , Quality Assurance ,,Great culture. Management cared. Company functions.,It was sad to see the company being bought out.,30-Aug-20,I worked at AstraZeneca full-time,"""A great company to work for.""",5
AstraZenca,Former Employee , Recruitment Advisor ,,"Flexible remote work, flexible work hours",I do not recall any cons,26-Aug-20,I worked at AstraZeneca part-time,"""Good place to work""",4
AstraZenca,Former Employee , Senior Endocrinology Diabetes Care Specialist ,"Los Angeles, CA","Flexible Schedule, Great Benefits, and Opportunities","Too many layers, Senior Management is not flexible",24-Aug-20,I worked at AstraZeneca full-time for more than 5 years,"""Open culture""",5
AstraZenca,Current Employee , R&D Associate II ,"Gaithersburg, MD","Great benefits and pay, great colleagues",Some individual managers are not great and little is done to improve their performance,23-Aug-20,I have been working at AstraZeneca full-time for more than 5 years,"""Great place to work""",4
AstraZenca,Former Employee , Sales Representative ,,AZ  cares about your opinion.  They give outstanding materials and support.,Knee jerk reaction to market climate many times.  If they would wait for a good sales cycle before they yank a program they would reap greater yields.,16-Aug-20,I worked at AstraZeneca full-time for more than 10 years,"""Quality company with great support""",5
AstraZenca,Current Employee , Analytics Leader ,,AZ supports innovative thinking and has a desire to continually serving the patient with great products. Work culture is excellent and leadership is considerate and understanding of personal circumstances.,Could continue to invest in cutting edge analytics and focus on cutting out redundant and low impact work to help give back flexibility of personal time to the employee.,13-Aug-20,I have been working at AstraZeneca full-time for less than a year,"""Providing opportunities""",5
AstraZenca,Former Employee , Clinical Supply Chain Coordinator,"Gaithersburg, MD",Opportunities are limitless. Management puts genuine interest in employees learning and growth opportunities.,Can not think of any.,11-Aug-20,I worked at AstraZeneca full-time for more than a year,"""Opportunities to grow.""",5
